transaction_id,customer_id,transaction_date,amount,currency,transaction_type,status
TXN-000055,CUST-0057,2024-09-08,51300.67,USD,PAYMENT,Failed
TXN-000056,CUST-0035,2023-05-12,6890.90,EUR,Debit,COMPLETED
TXN-000057,CUST-0070,2024-08-25,22800.00,GBP,credit,pending
TXN-000058,CUST-0020,2023-10-30,3780.45,INR,TRANSFER,Completed
TXN-000059,CUST-0047,2024-04-03,36100.88,USD,Payment,FAILED
TXN-000060,CUST-0011,2023-07-28,10250.00,JPY,debit,Reversed
TXN-000061,CUST-0054,2024-12-11,8500.75,BRL,REFUND,completed
TXN-000062,CUST-0036,2023-03-07,19800.33,CAD,Credit,PENDING
TXN-000063,CUST-0072,2024-06-24,5230.50,AUD,transfer,Completed
TXN-000064,CUST-0018,2023-09-19,43500.00,USD,PAYMENT,failed
TXN-000065,CUST-0059,2024-02-16,2670.88,EUR,Debit,COMPLETED
TXN-000066,CUST-0040,2023-11-04,14100.22,GBP,credit,pending
TXN-000067,CUST-0006,2024-05-31,37800.45,INR,TRANSFER,Reversed
TXN-000068,CUST-0049,2023-08-23,9120.00,USD,Refund,completed
TXN-000069,CUST-0024,2024-01-15,27500.67,JPY,DEBIT,Failed
TXN-000070,CUST-0065,2023-04-02,6340.33,BRL,payment,COMPLETED
TXN-000071,CUST-0032,2024-10-28,16200.90,CAD,Credit,pending
TXN-000072,CUST-0043,2023-06-09,48100.00,AUD,transfer,Completed
TXN-000073,CUST-0038,2024-03-17,3890.45,USD,REFUND,failed
TXN-000074,CUST-0061,2023-12-22,11800.88,EUR,Debit,REVERSED
TXN-000075,CUST-0029,2024-07-06,25600.00,GBP,PAYMENT,completed
TXN-000076,CUST-0075,2023-02-18,7450.50,INR,Credit,Pending
TXN-000001,CUST-0012,2023-04-15,12450.75,USD,Credit,Completed
TXN-000015,CUST-0005,2024-08-21,4320.75,JPY,Debit,completed
TXN-000030,CUST-0015,2023-12-16,26340.75,GBP,TRANSFER,failed
TXN-000050,CUST-0073,2023-06-17,18900.00,USD,Payment,COMPLETED
